[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1467254259.689000 6/29/2016, 9:37:39 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1467254259.689,,1.000000e+003,2.699922e+001,-5.670004e-002,9.020742e-005,3,9.982792e-001,1.590959e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.491547e-003,0.000000e+000,0,,0,
1467254312.230,,2.008724e+003,2.699847e+001,-6.616414e-002,1.364109e-003,3,9.978874e-001,2.061705e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.000259e-003,0.000000e+000,0,,0,
1467254366.330,,3.012974e+003,2.700072e+001,-6.218494e-002,1.728237e-003,3,9.979115e-001,2.779189e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.751755e-003,0.000000e+000,0,,0,
1467254419.121,,4.017150e+003,2.700109e+001,-5.857164e-002,1.601132e-003,3,9.973922e-001,2.733631e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.248764e-003,0.000000e+000,0,,0,
1467254472.231,,5.021401e+003,2.699735e+001,-5.551531e-002,1.516931e-003,3,9.972974e-001,2.732455e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.239487e-003,0.000000e+000,0,,0,
1467254525.852,,6.025207e+003,2.699903e+001,-5.286924e-002,1.444620e-003,3,9.972475e-001,2.732440e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.000259e-003,0.000000e+000,0,,0,
1467254578.423,,7.029161e+003,2.699922e+001,-5.061673e-002,1.380085e-003,3,9.973696e-001,2.726540e+000,,,,,,,,,,,,,,64,2,3.000000e+000,4.499435e-003,0.000000e+000,0,,0,
1467254675.423,,8.041567e+003,2.699922e+001,-4.834676e-002,1.285748e-003,3,9.971060e-001,2.659428e+000,,,,,,,,,,,,,,64,2,3.000000e+000,4.499435e-003,0.000000e+000,0,,0,
1467254729.584,,9.044037e+003,2.699866e+001,-4.639008e-002,1.181626e-003,3,9.972981e-001,2.547153e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.250671e-003,0.000000e+000,0,,0,
1467254782.265,,1.004843e+004,2.699959e+001,-4.471667e-002,1.193991e-003,3,9.971578e-001,2.670125e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.241135e-003,0.000000e+000,0,,0,
