[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1467271387.145000 6/30/2016, 2:23:07 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1467271387.145,,1.000000e+003,4.499823e+001,-3.237950e-002,1.067632e-004,3,9.981710e-001,3.297248e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.130676e-002,0.000000e+000,0,,0,
1467271440.515,,2.008724e+003,4.499399e+001,-3.154440e-002,8.568283e-004,3,9.977270e-001,2.716261e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.318741e-002,0.000000e+000,0,,0,
1467271494.256,,3.012825e+003,4.499870e+001,-2.899779e-002,6.538807e-004,3,9.963976e-001,2.254933e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1467271548.266,,4.017003e+003,4.499728e+001,-2.721949e-002,5.400816e-004,3,9.957525e-001,1.984173e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1467271601.157,,5.021401e+003,4.499635e+001,-2.583379e-002,4.521962e-004,3,9.946662e-001,1.750406e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1467271654.047,,6.025207e+003,4.499493e+001,-2.469953e-002,4.451339e-004,3,9.944699e-001,1.802196e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.541656e-003,0.000000e+000,0,,0,
1467271707.398,,7.029309e+003,4.499587e+001,-2.368528e-002,4.325847e-004,3,9.944914e-001,1.826386e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.541656e-003,0.000000e+000,0,,0,
1467271804.580,,8.040083e+003,4.500199e+001,-2.267224e-002,4.094803e-004,3,9.951588e-001,1.806087e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.530212e-003,0.000000e+000,0,,0,
1467271857.932,,9.042556e+003,4.500058e+001,-2.184645e-002,3.981982e-004,3,9.942826e-001,1.822714e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.410858e-003,0.000000e+000,0,,0,
1467271911.833,,1.004606e+004,4.500058e+001,-2.101243e-002,3.959881e-004,3,9.949411e-001,1.884542e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1467272023.361,,1.506806e+004,4.499822e+001,-1.774551e-002,7.992439e-004,3,9.905424e-001,4.503922e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.130295e-002,0.000000e+000,0,,0,
1467272095.051,,2.008724e+004,4.499775e+001,-1.451137e-002,6.347539e-004,3,9.882702e-001,4.374182e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.768921e-003,0.000000e+000,0,,0,
