[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1467262568.484000 6/29/2016, 11:56:08 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1467262568.484,,1.000000e+003,7.699236e+001,-1.684258e-003,1.872538e-005,3,9.926267e-001,1.111788e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.404022e-002,0.000000e+000,0,,0,
1467262621.015,,2.008724e+003,7.699035e+001,-1.305194e-003,1.284927e-004,3,9.606445e-001,9.844718e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.602386e-002,0.000000e+000,0,,0,
1467262673.825,,3.012677e+003,7.699285e+001,-7.278911e-004,2.214756e-004,3,7.980388e-001,3.042702e+001,,,,,,,,,,,,,,64,2,3.000000e+000,1.802826e-002,0.000000e+000,0,,0,
1467262768.906,,4.017003e+003,7.699335e+001,-5.617002e-004,2.443138e-005,3,9.532391e-001,4.349542e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.604462e-002,0.000000e+000,0,,0,
1467262864.837,,5.021104e+003,7.699686e+001,-3.424381e-004,2.182927e-005,3,9.179850e-001,6.374661e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.404785e-002,0.000000e+000,0,,0,
1467262960.718,,6.025207e+003,7.699084e+001,-1.445417e-004,1.736395e-005,3,7.988392e-001,1.201310e+001,,,,,,,,,,,,,,64,2,3.000000e+000,8.010864e-003,0.000000e+000,0,,0,
1467263119.510,,7.028864e+003,7.699536e+001,1.334627e-004,6.015753e-006,3,7.238578e-001,4.507442e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.403046e-002,0.000000e+000,0,,0,
1467263279.072,,8.040083e+003,7.700087e+001,2.792922e-004,1.954780e-005,3,8.708136e-001,6.999051e+000,,,,,,,,,,,,,,64,2,3.000000e+000,6.019592e-003,0.000000e+000,0,,0,
1467263376.093,,9.042556e+003,7.699585e+001,4.389731e-004,2.466576e-005,3,9.022786e-001,5.618969e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.202393e-002,0.000000e+000,0,,0,
1467263471.523,,1.004755e+004,7.698934e+001,6.150410e-004,1.887277e-005,3,9.225693e-001,3.068539e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.000977e-002,0.000000e+000,0,,0,
1467263646.477,,1.506866e+004,7.698685e+001,1.433847e-003,1.310224e-005,3,9.494166e-001,9.137823e-001,,,,,,,,,,,,,,64,2,3.000000e+000,2.603149e-002,0.000000e+000,0,,0,
1467263804.199,,2.008872e+004,7.699235e+001,2.114630e-003,1.690368e-005,3,9.602820e-001,7.993685e-001,,,,,,,,,,,,,,64,2,3.000000e+000,8.010864e-003,0.000000e+000,0,,0,
1467263918.010,,2.510774e+004,7.698685e+001,2.722084e-003,4.523476e-005,3,9.589362e-001,1.661770e+000,,,,,,,,,,,,,,64,2,3.000000e+000,4.808044e-002,0.000000e+000,0,,0,
1467263989.261,,3.012751e+004,7.698834e+001,3.118679e-003,7.976423e-005,3,9.465567e-001,2.557629e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.400757e-002,0.000000e+000,0,,0,
1467264060.781,,3.515174e+004,7.698885e+001,4.207192e-003,6.227714e-004,3,9.116018e-001,1.480254e+001,,,,,,,,,,,,,,64,2,3.000000e+000,1.602173e-002,0.000000e+000,0,,0,
1467264132.412,,4.017077e+004,7.698885e+001,4.305429e-003,9.935132e-005,3,9.536989e-001,2.307582e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.805328e-002,0.000000e+000,0,,0,
1467264202.663,,4.519054e+004,7.699185e+001,4.955121e-003,1.920941e-005,3,9.591812e-001,3.876679e-001,,,,,,,,,,,,,,64,2,3.000000e+000,2.603149e-002,0.000000e+000,0,,0,
1467264273.413,,5.021253e+004,7.698885e+001,5.513679e-003,1.741610e-004,3,9.675542e-001,3.158707e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.406525e-002,0.000000e+000,0,,0,
1467264344.224,,5.523452e+004,7.699736e+001,6.010463e-003,2.055242e-004,3,9.646199e-001,3.419440e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.000977e-002,0.000000e+000,0,,0,
1467264415.015,,6.025355e+004,7.699035e+001,6.632756e-003,1.719236e-004,3,9.658394e-001,2.592038e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.402283e-002,0.000000e+000,0,,0,
1467264484.976,,6.527406e+004,7.699036e+001,7.116537e-003,1.650599e-004,3,9.634928e-001,2.319385e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.803589e-002,0.000000e+000,0,,0,
1467264554.966,,7.029309e+004,7.699335e+001,7.163926e-003,4.992373e-004,3,9.573681e-001,6.968767e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.402283e-002,0.000000e+000,0,,0,
1467264667.789,,6.527259e+004,7.700137e+001,7.126055e-003,3.454329e-005,3,9.630132e-001,4.847464e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.602173e-002,0.000000e+000,0,,0,
1467264740.960,,6.025207e+004,7.699536e+001,6.543772e-003,4.442476e-005,3,9.618773e-001,6.788861e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.603699e-002,0.000000e+000,0,,0,
1467264814.031,,5.523304e+004,7.698634e+001,6.235545e-003,7.133552e-005,3,9.643719e-001,1.144014e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.802063e-002,0.000000e+000,0,,0,
1467264885.392,,5.021105e+004,7.700037e+001,5.783680e-003,7.388870e-006,3,9.606162e-001,1.277538e-001,,,,,,,,,,,,,,64,2,3.000000e+000,2.806091e-002,0.000000e+000,0,,0,
1467264957.612,,4.518905e+004,7.699084e+001,5.257800e-003,1.118732e-004,3,9.680248e-001,2.127757e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.402283e-002,0.000000e+000,0,,0,
1467265030.503,,4.017002e+004,7.699535e+001,4.689622e-003,1.133223e-005,3,9.664363e-001,2.416449e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.802826e-002,0.000000e+000,0,,0,
1467265102.874,,3.514951e+004,7.699686e+001,4.194879e-003,7.664602e-005,3,9.700407e-001,1.827133e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.003479e-002,0.000000e+000,0,,0,
1467265175.215,,3.012677e+004,7.699385e+001,3.726523e-003,1.296740e-005,3,9.687049e-001,3.479758e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.604462e-002,0.000000e+000,0,,0,
1467265247.405,,2.510775e+004,7.699135e+001,3.223689e-003,9.114256e-005,3,9.721196e-001,2.827276e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.802063e-002,0.000000e+000,0,,0,
1467265320.376,,2.008723e+004,7.699136e+001,2.830474e-003,9.150196e-005,3,9.723352e-001,3.232744e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.803589e-002,0.000000e+000,0,,0,
1467265392.667,,1.506569e+004,7.698885e+001,2.464758e-003,8.840334e-005,3,9.735330e-001,3.586694e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.600647e-002,0.000000e+000,0,,0,
