[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1467279666.602000 6/30/2016, 4:41:06 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1467279666.602,,2.000000e+001,7.498814e+001,-1.918704e-003,5.646196e-007,3,9.945130e-001,2.942713e-002,,,,,,,,,,,,,,64,2,3.000000e+000,7.637024e-003,0.000000e+000,0,,0,
1467279755.913,,2.000000e+001,7.537276e+001,-1.913287e-003,1.181593e-006,3,9.944307e-001,6.175724e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.487701e-001,0.000000e+000,0,,0,
1467279798.674,,2.000000e+001,7.577692e+001,-1.902388e-003,6.363680e-006,3,9.945101e-001,3.345101e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.813705e-001,0.000000e+000,0,,0,
1467279841.764,,2.000000e+001,7.617178e+001,-1.880683e-003,8.603225e-006,3,9.944576e-001,4.574522e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.671646e-001,0.000000e+000,0,,0,
1467279884.485,,2.000000e+001,7.653181e+001,-1.855285e-003,9.023130e-006,3,9.943733e-001,4.863474e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.526764e-001,0.000000e+000,0,,0,
1467279927.945,,2.000000e+001,7.688700e+001,-1.828750e-003,9.844829e-006,3,9.943024e-001,5.383364e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.636627e-001,0.000000e+000,0,,0,
1467279970.695,,2.000000e+001,7.724322e+001,-1.799913e-003,1.052264e-005,3,9.942272e-001,5.846192e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.486633e-001,0.000000e+000,0,,0,
1467280013.306,,2.000000e+001,7.759589e+001,-1.768525e-003,1.195695e-005,3,9.941310e-001,6.760969e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.313141e-001,0.000000e+000,0,,0,
1467280055.436,,2.000000e+001,7.794438e+001,-1.733690e-003,1.284145e-005,3,9.940474e-001,7.407005e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.423004e-001,0.000000e+000,0,,0,
1467280097.877,,2.000000e+001,7.830115e+001,-1.693777e-003,1.467534e-005,3,9.939250e-001,8.664265e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.219986e-001,0.000000e+000,0,,0,
1467280141.097,,2.000000e+001,7.865326e+001,-1.649078e-003,1.675214e-005,3,9.938128e-001,1.015849e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.415833e-001,0.000000e+000,0,,0,
1467280183.898,,2.000000e+001,7.899514e+001,-1.598785e-003,1.873147e-005,3,9.936675e-001,1.171607e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.316727e-001,0.000000e+000,0,,0,
1467280226.578,,2.000000e+001,7.935612e+001,-1.542291e-003,1.990895e-005,3,9.935223e-001,1.290869e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.343658e-001,0.000000e+000,0,,0,
1467280269.698,,2.000000e+001,7.970141e+001,-1.479265e-003,2.358536e-005,3,9.933119e-001,1.594397e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.455658e-001,0.000000e+000,0,,0,
1467280312.759,,2.000000e+001,8.005423e+001,-1.407617e-003,2.717657e-005,3,9.930574e-001,1.930680e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.483353e-001,0.000000e+000,0,,0,
1467280356.089,,2.000000e+001,8.040118e+001,-1.330131e-003,2.875633e-005,3,9.927302e-001,2.161917e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.163376e-001,0.000000e+000,0,,0,
