[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1454907900.241000 2/7/2016, 11:05:00 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1454907900.241,,1.000000e+003,4.499632e+001,-4.991785e-002,8.906420e-005,3,9.983650e-001,1.784215e-001,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1454907953.152,,2.008872e+003,4.499491e+001,-5.148448e-002,1.305807e-003,3,9.985832e-001,2.536311e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.429932e-003,0.000000e+000,0,,0,
1454908006.853,,3.012974e+003,4.500010e+001,-4.691994e-002,2.148876e-003,3,9.936262e-001,4.579877e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.418488e-003,0.000000e+000,0,,0,
1454908059.913,,4.017225e+003,4.499821e+001,-4.317208e-002,2.291677e-003,3,9.941851e-001,5.308238e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454908113.464,,5.021401e+003,4.499585e+001,-3.908390e-002,4.843700e-004,3,9.970220e-001,1.239308e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.429932e-003,0.000000e+000,0,,0,
1454908166.964,,6.025206e+003,4.499962e+001,-3.658099e-002,7.244885e-004,3,9.979759e-001,1.980506e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454908221.185,,7.029902e+003,4.500103e+001,-3.432817e-002,9.219465e-004,3,9.980003e-001,2.685685e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1454908318.777,,8.040825e+003,4.499868e+001,-3.219207e-002,9.458332e-004,3,9.973116e-001,2.938093e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454908370.858,,9.042853e+003,4.500151e+001,-3.027749e-002,9.840446e-004,3,9.975525e-001,3.250087e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.761292e-003,0.000000e+000,0,,0,
1454908425.209,,1.004458e+004,4.499868e+001,-2.850239e-002,9.870870e-004,3,9.953343e-001,3.463173e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
