[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1454899650.424000 2/7/2016, 8:47:30 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1454899650.424,,1.000000e+003,7.698606e+001,-5.884808e-003,5.239611e-005,3,9.981101e-001,8.903623e-001,,,,,,,,,,,,,,64,2,3.000000e+000,2.202606e-002,0.000000e+000,0,,0,
1454899704.085,,2.009168e+003,7.700309e+001,-5.106567e-003,9.814585e-005,3,9.930623e-001,1.921953e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.003265e-002,0.000000e+000,0,,0,
1454899756.726,,3.013196e+003,7.699658e+001,-4.402636e-003,9.092096e-005,3,9.764967e-001,2.065149e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.004242e-002,0.000000e+000,0,,0,
1454899830.906,,4.017818e+003,7.699507e+001,-3.957427e-003,8.282959e-005,3,9.942659e-001,2.093016e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.203918e-002,0.000000e+000,0,,0,
1454899884.485,,5.021994e+003,7.699908e+001,-3.378728e-003,2.836285e-004,3,9.490719e-001,8.394535e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.604462e-002,0.000000e+000,0,,0,
1454899938.055,,6.026244e+003,7.700159e+001,-3.046973e-003,2.254935e-004,3,9.400735e-001,7.400576e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.603699e-002,0.000000e+000,0,,0,
1454899992.554,,7.030050e+003,7.699758e+001,-2.652699e-003,2.344348e-004,3,9.497081e-001,8.837595e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.403046e-002,0.000000e+000,0,,0,
1454900090.094,,8.040232e+003,7.699557e+001,-2.187870e-003,2.626353e-004,3,9.283499e-001,1.200416e+001,,,,,,,,,,,,,,64,2,3.000000e+000,1.602173e-002,0.000000e+000,0,,0,
1454900207.255,,9.041962e+003,7.698506e+001,-1.266055e-003,3.244204e-005,3,9.698551e-001,2.562451e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.001953e-002,0.000000e+000,0,,0,
1454900261.915,,1.004814e+004,7.698355e+001,-2.420224e-003,1.297349e-003,3,9.150933e-001,5.360448e+001,,,,,,,,,,,,,,64,2,3.000000e+000,3.407288e-002,0.000000e+000,0,,0,
1454900373.899,,1.506836e+004,7.699757e+001,8.431625e-004,3.188655e-004,3,8.842945e-001,3.781779e+001,,,,,,,,,,,,,,64,2,3.000000e+000,6.011963e-003,0.000000e+000,0,,0,
1454900490.221,,2.008798e+004,7.699608e+001,7.825182e-004,5.317941e-003,3,4.740193e-001,6.795933e+002,,,,,,,,,,,,,,64,2,3.000000e+000,2.003479e-002,0.000000e+000,0,,0,
1454900561.872,,2.511071e+004,7.699708e+001,2.205762e-003,2.609993e-005,3,8.527119e-001,1.183262e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.603699e-002,0.000000e+000,0,,0,
1454900632.764,,3.012678e+004,7.698857e+001,4.256750e-003,8.757126e-004,3,6.245540e-001,2.057233e+001,,,,,,,,,,,,,,64,2,3.000000e+000,2.203369e-002,0.000000e+000,0,,0,
1454900705.655,,3.515100e+004,7.699256e+001,6.838337e-003,9.205497e-004,3,7.650937e-001,1.346160e+001,,,,,,,,,,,,,,64,2,3.000000e+000,6.011963e-003,0.000000e+000,0,,0,
1454900776.707,,4.017077e+004,7.699407e+001,5.000034e-003,3.388966e-003,3,6.821340e-001,6.777885e+001,,,,,,,,,,,,,,64,2,3.000000e+000,1.403809e-002,0.000000e+000,0,,0,
1454900847.318,,4.519054e+004,7.699657e+001,6.387756e-003,4.161804e-005,3,8.168663e-001,6.515283e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.202393e-002,0.000000e+000,0,,0,
1454900917.679,,5.021105e+004,7.699207e+001,6.642427e-003,3.146045e-004,3,9.031601e-001,4.736289e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.405762e-002,0.000000e+000,0,,0,
1454900988.041,,5.523452e+004,7.700209e+001,7.404663e-003,1.889032e-003,3,9.367712e-001,2.551138e+001,,,,,,,,,,,,,,64,2,3.000000e+000,2.604675e-002,0.000000e+000,0,,0,
1454901058.472,,6.025058e+004,7.699758e+001,8.857384e-003,1.215202e-003,3,9.413956e-001,1.371965e+001,,,,,,,,,,,,,,64,2,3.000000e+000,3.405762e-002,0.000000e+000,0,,0,
1454901171.675,,6.527258e+004,7.698706e+001,1.019301e-002,3.282515e-004,3,9.541302e-001,3.220360e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.000977e-002,0.000000e+000,0,,0,
1454901243.056,,7.029309e+004,7.699357e+001,9.855132e-003,1.260783e-004,3,9.438687e-001,1.279317e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.605438e-002,0.000000e+000,0,,0,
1454901356.570,,6.527258e+004,7.699157e+001,9.269746e-003,1.726328e-004,3,9.697970e-001,1.862325e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.404785e-002,0.000000e+000,0,,0,
1454901429.772,,6.025355e+004,7.699757e+001,9.105019e-003,1.366941e-005,3,9.695588e-001,1.501305e-001,,,,,,,,,,,,,,64,2,3.000000e+000,2.404785e-002,0.000000e+000,0,,0,
1454901503.253,,5.523156e+004,7.700159e+001,8.275168e-003,3.082074e-004,3,9.672715e-001,3.724485e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.604675e-002,0.000000e+000,0,,0,
1454901575.195,,5.021253e+004,7.699657e+001,8.929659e-003,7.488178e-004,3,9.397845e-001,8.385738e+000,,,,,,,,,,,,,,64,2,3.000000e+000,2.005005e-002,0.000000e+000,0,,0,
1454901646.716,,4.519202e+004,7.699207e+001,7.605841e-003,2.145577e-003,3,9.247230e-001,2.820960e+001,,,,,,,,,,,,,,64,2,3.000000e+000,8.010864e-003,0.000000e+000,0,,0,
1454901719.218,,4.017150e+004,7.700259e+001,6.139976e-003,8.602518e-004,3,9.767359e-001,1.401067e+001,,,,,,,,,,,,,,64,2,3.000000e+000,1.403046e-002,0.000000e+000,0,,0,
