[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1454916201.775000 2/8/2016, 1:23:21 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1454916201.775,,2.000000e+001,7.498363e+001,-2.106661e-003,3.901911e-008,3,9.962389e-001,1.852178e-003,,,,,,,,,,,,,,64,2,3.000000e+000,2.862549e-002,0.000000e+000,0,,0,
1454916291.557,,2.000000e+001,7.538567e+001,-2.105308e-003,3.669739e-007,3,9.961060e-001,1.743089e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.836365e-001,0.000000e+000,0,,0,
1454916333.958,,2.000000e+001,7.580126e+001,-2.104105e-003,1.069970e-006,3,9.962517e-001,5.085155e-002,,,,,,,,,,,,,,64,2,3.000000e+000,4.244537e-001,0.000000e+000,0,,0,
1454916377.129,,2.000000e+001,7.621998e+001,-2.100342e-003,1.341949e-006,3,9.962308e-001,6.389192e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.657684e-001,0.000000e+000,0,,0,
1454916419.280,,2.000000e+001,7.657900e+001,-2.096264e-003,1.469048e-006,3,9.962318e-001,7.007936e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.472137e-001,0.000000e+000,0,,0,
1454916461.640,,2.000000e+001,7.692865e+001,-2.092130e-003,1.426407e-006,3,9.962324e-001,6.817968e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.221436e-001,0.000000e+000,0,,0,
1454916504.641,,2.000000e+001,7.726057e+001,-2.087845e-003,1.346723e-006,3,9.962242e-001,6.450303e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.004990e-001,0.000000e+000,0,,0,
1454916547.662,,2.000000e+001,7.759621e+001,-2.083436e-003,1.464438e-006,3,9.961991e-001,7.028957e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.110657e-001,0.000000e+000,0,,0,
1454916591.373,,2.000000e+001,7.793251e+001,-2.078713e-003,1.622489e-006,3,9.962032e-001,7.805257e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.257904e-001,0.000000e+000,0,,0,
1454916633.764,,2.000000e+001,7.826394e+001,-2.073907e-003,1.817089e-006,3,9.961973e-001,8.761671e-002,,,,,,,,,,,,,,64,2,3.000000e+000,2.907104e-001,0.000000e+000,0,,0,
1454916676.025,,2.000000e+001,7.856640e+001,-2.069043e-003,1.786961e-006,3,9.961836e-001,8.636653e-002,,,,,,,,,,,,,,64,2,3.000000e+000,3.098602e-001,0.000000e+000,0,,0,
1454916718.866,,2.000000e+001,7.892084e+001,-2.063424e-003,2.108660e-006,3,9.961596e-001,1.021923e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.585205e-001,0.000000e+000,0,,0,
1454916761.906,,2.000000e+001,7.928021e+001,-2.056937e-003,2.350181e-006,3,9.961538e-001,1.142563e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.507996e-001,0.000000e+000,0,,0,
1454916804.497,,2.000000e+001,7.963508e+001,-2.049987e-003,2.611623e-006,3,9.961174e-001,1.273970e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.408890e-001,0.000000e+000,0,,0,
1454916847.678,,2.000000e+001,7.996973e+001,-2.042408e-003,2.872077e-006,3,9.960963e-001,1.406221e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.326797e-001,0.000000e+000,0,,0,
1454916890.729,,2.000000e+001,8.032802e+001,-2.034273e-003,3.087915e-006,3,9.960754e-001,1.517945e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.396835e-001,0.000000e+000,0,,0,
1454916933.870,,2.000000e+001,8.067015e+001,-2.025021e-003,3.323509e-006,3,9.960529e-001,1.641222e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.662567e-001,0.000000e+000,0,,0,
1454916976.971,,2.000000e+001,8.102197e+001,-2.015175e-003,3.608001e-006,3,9.960341e-001,1.790416e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.164139e-001,0.000000e+000,0,,0,
1454917019.512,,2.000000e+001,8.135672e+001,-2.004258e-003,4.134013e-006,3,9.960005e-001,2.062615e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.542175e-001,0.000000e+000,0,,0,
1454917062.372,,2.000000e+001,8.170505e+001,-1.992058e-003,4.377510e-006,3,9.959767e-001,2.197481e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.301468e-001,0.000000e+000,0,,0,
1454917105.763,,2.000000e+001,8.205782e+001,-1.977562e-003,5.378662e-006,3,9.959260e-001,2.719845e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.575211e-001,0.000000e+000,0,,0,
1454917149.244,,2.000000e+001,8.241330e+001,-1.961470e-003,5.884589e-006,3,9.958788e-001,3.000092e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.353653e-001,0.000000e+000,0,,0,
1454917192.165,,2.000000e+001,8.274819e+001,-1.943490e-003,6.550789e-006,3,9.958143e-001,3.370632e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.446960e-001,0.000000e+000,0,,0,
1454917235.035,,2.000000e+001,8.308836e+001,-1.923330e-003,7.841372e-006,3,9.957679e-001,4.076977e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.081284e-001,0.000000e+000,0,,0,
1454917277.925,,2.000000e+001,8.343461e+001,-1.898985e-003,8.198550e-006,3,9.957082e-001,4.317333e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.267136e-001,0.000000e+000,0,,0,
1454917320.895,,2.000000e+001,8.376129e+001,-1.871946e-003,1.019139e-005,3,9.956495e-001,5.444275e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.499756e-001,0.000000e+000,0,,0,
1454917364.005,,2.000000e+001,8.411317e+001,-1.839841e-003,1.288121e-005,3,9.955624e-001,7.001265e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.503113e-001,0.000000e+000,0,,0,
1454917407.305,,2.000000e+001,8.445531e+001,-1.799670e-003,1.596921e-005,3,9.954519e-001,8.873411e-001,,,,,,,,,,,,,,64,2,3.000000e+000,3.433838e-001,0.000000e+000,0,,0,
1454917449.375,,2.000000e+001,8.482385e+001,-1.750349e-003,1.781314e-005,3,9.953066e-001,1.017691e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.700180e-001,0.000000e+000,0,,0,
1454917492.995,,2.000000e+001,8.518324e+001,-1.688795e-003,2.216348e-005,3,9.951382e-001,1.312384e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.391190e-001,0.000000e+000,0,,0,
1454917535.986,,2.000000e+001,8.553631e+001,-1.618142e-003,2.662331e-005,3,9.949189e-001,1.645301e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.199081e-001,0.000000e+000,0,,0,
1454917580.067,,2.000000e+001,8.588901e+001,-1.527702e-003,3.630342e-005,3,9.946588e-001,2.376342e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.320999e-001,0.000000e+000,0,,0,
1454917622.678,,2.000000e+001,8.625047e+001,-1.418323e-003,4.216611e-005,3,9.942266e-001,2.972955e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.197784e-001,0.000000e+000,0,,0,
1454917665.658,,2.000000e+001,8.658189e+001,-1.285465e-003,5.082268e-005,3,9.937037e-001,3.953641e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.319778e-001,0.000000e+000,0,,0,
1454917708.249,,2.000000e+001,8.692246e+001,-1.127124e-003,5.872604e-005,3,9.929413e-001,5.210256e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.243713e-001,0.000000e+000,0,,0,
1454917751.210,,2.000000e+001,8.728119e+001,-9.407645e-004,6.910758e-005,3,9.918880e-001,7.345895e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.192520e-001,0.000000e+000,0,,0,
1454917835.772,,2.000000e+001,8.797678e+001,-5.141301e-004,7.573754e-005,3,9.851280e-001,1.473120e+001,,,,,,,,,,,,,,64,2,3.000000e+000,3.416672e-001,0.000000e+000,0,,0,
1454917922.254,,2.000000e+001,8.867538e+001,-1.593699e-004,4.942104e-005,3,9.439142e-001,3.101027e+001,,,,,,,,,,,,,,64,2,3.000000e+000,3.180695e-001,0.000000e+000,0,,0,
1454917985.615,,2.000000e+001,8.919141e+001,-6.262604e-006,2.452403e-005,3,4.168772e-001,3.915948e+002,,,,,,,,,,,,,,64,2,3.000000e+000,3.161392e-001,0.000000e+000,0,,0,
